epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.984490,26.9900,1.950944,29.4300,28.26
2,0.1,1.443561,45.6300,1.442037,47.5500,3.20
3,0.1,1.194419,56.8520,1.398963,50.7900,3.22
4,0.1,1.058551,61.9220,1.226277,57.6000,4.26
5,0.1,0.955845,65.7280,1.136412,61.4100,4.39
6,0.1,0.887083,68.5080,1.100717,62.9500,5.55
7,0.1,0.821018,70.8300,1.004374,65.3900,5.17
8,0.1,0.766736,72.8220,0.863058,70.5900,5.35
9,0.1,0.725337,74.4940,1.158035,62.0200,5.08
10,0.1,0.680311,76.0080,0.908610,69.0000,5.30
11,0.1,0.650024,77.3160,1.139235,64.6100,5.64
12,0.1,0.625624,78.0900,1.201192,65.0800,5.45
13,0.1,0.600150,79.1000,0.739819,75.7500,5.50
14,0.1,0.573814,79.8220,1.290805,60.8000,5.13
15,0.1,0.559334,80.5060,0.920257,70.2500,5.35
1,0.1,1.600202,40.8280,1.895581,39.6300,28.00
2,0.1,1.092543,61.0180,1.209367,58.6600,6.16
3,0.1,0.911985,67.4860,1.259256,60.8100,7.25
4,0.1,0.809726,71.4520,1.266644,61.8400,8.43
5,0.1,0.746699,73.7840,1.070736,65.8900,8.36
6,0.1,0.691943,75.8900,0.807500,73.2200,8.46
7,0.1,0.644544,77.4820,0.949438,70.3100,8.38
8,0.1,0.621426,78.4780,0.677080,76.9200,8.45
9,0.1,0.604004,78.9220,0.930991,70.0900,8.27
10,0.1,0.578659,79.9940,0.651243,78.5900,8.35
11,0.1,0.562765,80.5140,0.893412,71.3300,8.32
12,0.1,0.542227,81.1740,0.650454,78.1800,8.30
13,0.1,0.528003,81.6980,0.601382,79.6900,8.39
14,0.1,0.519934,81.8620,0.595929,79.9800,8.60
15,0.1,0.508368,82.4740,0.602584,80.6300,8.57
16,0.1,0.496386,82.6600,0.929264,72.6100,8.52
17,0.1,0.489919,82.8520,0.870612,74.2800,8.45
18,0.1,0.482371,83.2260,0.614818,80.3600,8.33
19,0.1,0.475766,83.4200,0.650774,78.9400,8.49
20,0.1,0.466372,83.8700,0.563675,81.3100,8.34
21,0.1,0.460011,83.9380,0.655916,78.5600,8.43
22,0.1,0.448565,84.4660,0.611573,80.3300,8.44
23,0.1,0.446397,84.5900,0.841955,73.4300,8.26
24,0.1,0.443902,84.5800,0.535363,82.3600,8.39
25,0.1,0.434591,85.0540,0.661297,79.0700,8.39
26,0.1,0.434347,84.7440,0.622488,80.1200,8.23
27,0.1,0.427455,85.2840,0.674232,79.0400,8.28
28,0.1,0.423586,85.1780,0.752913,76.9400,8.23
29,0.1,0.417357,85.6620,0.582455,80.6800,8.03
30,0.1,0.418872,85.5580,0.602130,80.2900,8.19
31,0.1,0.415889,85.6180,0.617162,80.2100,8.20
32,0.1,0.411293,85.7640,0.556217,82.5400,8.25
33,0.1,0.402868,85.9760,0.757810,75.6900,8.25
34,0.1,0.401676,86.1920,0.538799,82.4700,8.16
35,0.1,0.400118,86.0840,0.777482,75.6600,8.17
36,0.1,0.398445,86.0520,0.594721,80.5100,8.16
37,0.1,0.392288,86.2680,0.651023,79.3800,8.38
38,0.1,0.392876,86.4740,0.521165,83.0800,8.30
39,0.1,0.395367,86.2900,0.553711,82.2600,8.15
40,0.1,0.394060,86.2520,0.566646,82.2100,8.47
41,0.010000000000000002,0.295544,89.8000,0.360343,88.2500,8.31
42,0.010000000000000002,0.266032,90.9480,0.360413,87.9700,8.37
43,0.010000000000000002,0.255950,91.2100,0.359708,88.0900,8.16
44,0.010000000000000002,0.247450,91.4520,0.355766,88.4400,46.33
45,0.010000000000000002,0.245983,91.4280,0.358275,88.1100,8.19
46,0.010000000000000002,0.241306,91.6480,0.361643,88.3300,50.95
47,0.010000000000000002,0.236105,91.7880,0.350764,88.4100,8.25
48,0.010000000000000002,0.230877,91.9860,0.351183,88.6400,10.65
49,0.010000000000000002,0.228668,92.0000,0.363238,88.3000,8.54
50,0.010000000000000002,0.225880,92.0880,0.360637,88.3700,8.45
51,0.010000000000000002,0.224668,92.2140,0.364789,88.5500,8.31
52,0.010000000000000002,0.222237,92.2700,0.360585,88.3500,8.39
53,0.010000000000000002,0.216862,92.5120,0.356493,88.7400,8.36
54,0.010000000000000002,0.218046,92.3520,0.355906,88.4900,8.51
55,0.010000000000000002,0.214243,92.4640,0.360572,88.5600,8.48
56,0.010000000000000002,0.214713,92.4340,0.372037,88.0300,8.32
57,0.010000000000000002,0.210721,92.5400,0.360852,88.5000,8.23
58,0.010000000000000002,0.206389,92.7320,0.359182,88.8900,8.42
59,0.010000000000000002,0.207678,92.5960,0.371909,88.4700,8.45
60,0.010000000000000002,0.203382,92.9800,0.372957,88.4100,8.23
61,0.0010000000000000002,0.194833,93.2440,0.350020,89.0600,8.47
