epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
1,0.0009996145181203615,1.0788688011961267,0.567006554989075,21.519557353540794,0.11298969072164948,0.11298969072164948
2,0.000998458666866564,0.6710897591195659,0.7283321194464676,4.615678646389356,0.2927835051546392,0.2927835051546392
3,0.0009965342284774632,0.505804837791918,0.8015294974508376,4.111189605476274,0.3529896907216495,0.3529896907216495
4,0.0009938441702975688,0.44883015120194414,0.817916970138383,4.673466598938244,0.41237113402061853,0.41237113402061853
5,0.0009903926402016151,0.38689681839873474,0.842680262199563,8.090843084185414,0.2420618556701031,0.41237113402061853
6,0.0009861849601988382,0.34486044838058627,0.848871085214858,6.900482623735347,0.3595876288659794,0.41237113402061853
7,0.0009812276182268236,0.2880089002331069,0.8965768390386016,4.052745437671229,0.3575257731958763,0.41237113402061853
8,0.0009755282581475768,0.24538455013584587,0.9184268026219956,2.533075399409557,0.4490721649484536,0.4490721649484536
9,0.0009690956679612421,0.22105454821180273,0.9253459577567371,7.0238866524828465,0.337319587628866,0.4490721649484536
10,0.0009619397662556433,0.19503992200114825,0.932993445010925,2.5459797619277973,0.5315463917525773,0.5315463917525773
11,0.0009540715869125406,0.15724679059840777,0.9479242534595775,3.8294328907634143,0.4156701030927835,0.5315463917525773
12,0.0009455032620941839,0.10056695741454094,0.9726875455207574,1.2253401427064392,0.6874226804123711,0.6874226804123711
13,0.0009362480035363986,0.10223246338653114,0.965768390386016,19.17864785395947,0.32742268041237116,0.6874226804123711
14,0.0009263200821770461,0.07691677371331661,0.9756008739985433,6.839638894624227,0.3711340206185567,0.6874226804123711
15,0.0009157348061512728,0.0693776497328403,0.9792425345957757,13.721953876927955,0.2556701030927835,0.6874226804123711
16,0.0009045084971874739,0.06709575722399673,0.9836125273124545,4.076000587690199,0.39835051546391753,0.6874226804123711
17,0.0008926584654403725,0.06387637080780711,0.9803350327749454,1.2537335037173147,0.6202061855670103,0.6874226804123711
18,0.0008802029828000156,0.058598845330245376,0.9806991988346686,6.242558761468282,0.3797938144329897,0.6874226804123711
19,0.0008671612547178428,0.06037451228084828,0.9832483612527313,15.145532399600315,0.29195876288659794,0.6874226804123711
20,0.0008535533905932737,0.054636091265206084,0.9806991988346686,9.83444848332747,0.4263917525773196,0.6874226804123711
